Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2000,Type of assistance: Investment loan,36000.0,KGZ
2002,Type of assistance: Investment loan,15000.0,KGZ
2009,Type of assistance: Investment loan,7150.0,KGZ
2011,Type of assistance: Investment loan,7200.0,KGZ
2013,Type of assistance: Investment loan,1950.0,KGZ
2014,Type of assistance: Investment loan,10400.0,KGZ
2016,Type of assistance: Investment loan,46950.0,KGZ
2019,Type of assistance: Investment loan,50000.0,KGZ
2005,Type of assistance: Investment grant,7200.0,KGZ
2008,Type of assistance: Investment grant,8700.0,KGZ
2009,Type of assistance: Investment grant,6500.0,KGZ
2011,Type of assistance: Investment grant,13860.0,KGZ
2013,Type of assistance: Investment grant,7350.0,KGZ
2014,Type of assistance: Investment grant,11185.0,KGZ
2015,Type of assistance: Investment grant,5772.3,KGZ
2016,Type of assistance: Investment grant,12402.5,KGZ
2009,Type of assistance: Investment loan and grant,10000.0,KGZ
2012,Type of assistance: Investment loan and grant,7000.0,KGZ
2014,Type of assistance: Investment loan and grant,4890.0,KGZ
2015,Type of assistance: Investment loan and grant,9100.0,KGZ
2016,Type of assistance: Investment loan and grant,30100.0,KGZ
2017,Type of assistance: Investment loan and grant,59930.0,KGZ
2018,Type of assistance: Investment loan and grant,48020.0,KGZ
2019,Type of assistance: Investment loan and grant,24887.5,KGZ
