Year,Reference area,GeoCode,Value,M49_country_code
2015,,,10.810627,KGZ
2016,,,16.102629,KGZ
2017,,,20.2,KGZ
2018,,,12.4,KGZ
2019,,,14.11,KGZ
2020,,,12.3,KGZ
2021,,,24.4,KGZ
2015,Batken,KG05,34.216964,KGZ
2016,Batken,KG05,51.97171,KGZ
2017,Batken,KG05,50.7,KGZ
2018,Batken,KG05,44.9,KGZ
2019,Batken,KG05,37.38,KGZ
2020,Batken,KG05,40.3,KGZ
2021,Batken,KG05,45.7,KGZ
2015,Jalal-Abad,KG03,30.828434,KGZ
2016,Jalal-Abad,KG03,35.669135,KGZ
2017,Jalal-Abad,KG03,31.6,KGZ
2018,Jalal-Abad,KG03,28.9,KGZ
2019,Jalal-Abad,KG03,40.55,KGZ
2020,Jalal-Abad,KG03,36.2,KGZ
2021,Jalal-Abad,KG03,38.0,KGZ
2015,Issyk-Kul,KG02,-8.771443,KGZ
2016,Issyk-Kul,KG02,19.590714,KGZ
2017,Issyk-Kul,KG02,25.6,KGZ
2018,Issyk-Kul,KG02,16.6,KGZ
2019,Issyk-Kul,KG02,45.71,KGZ
2020,Issyk-Kul,KG02,44.3,KGZ
2021,Issyk-Kul,KG02,51.3,KGZ
2015,Naryn,KG04,-5.438854,KGZ
2016,Naryn,KG04,-3.700551,KGZ
2017,Naryn,KG04,16.3,KGZ
2018,Naryn,KG04,5.4,KGZ
2019,Naryn,KG04,24.57,KGZ
2020,Naryn,KG04,36.0,KGZ
2021,Naryn,KG04,51.5,KGZ
2015,Osh,KG06,18.022223,KGZ
2016,Osh,KG06,0.07913,KGZ
2017,Osh,KG06,16.9,KGZ
2018,Osh,KG06,5.4,KGZ
2019,Osh,KG06,12.6,KGZ
2020,Osh,KG06,2.7,KGZ
2021,Osh,KG06,13.0,KGZ
2015,Talas,KG07,16.930727,KGZ
2016,Talas,KG07,15.126177,KGZ
2017,Talas,KG07,17.2,KGZ
2018,Talas,KG07,24.8,KGZ
2019,Talas,KG07,29.45,KGZ
2020,Talas,KG07,32.9,KGZ
2021,Talas,KG07,36.4,KGZ
2015,Chui,KG08,25.703179,KGZ
2016,Chui,KG08,26.618611,KGZ
2017,Chui,KG08,28.8,KGZ
2018,Chui,KG08,16.2,KGZ
2019,Chui,KG08,17.36,KGZ
2020,Chui,KG08,11.3,KGZ
2021,Chui,KG08,27.0,KGZ
2015,Bishkek (city),KG11,-9.015999,KGZ
2016,Bishkek (city),KG11,-11.403693,KGZ
2017,Bishkek (city),KG11,-3.4,KGZ
2018,Bishkek (city),KG11,-12.8,KGZ
2019,Bishkek (city),KG11,-17.99,KGZ
2020,Bishkek (city),KG11,-18.2,KGZ
2021,Bishkek (city),KG11,2.7,KGZ
2015,Osh (city),KG21,10.609517,KGZ
2016,Osh (city),KG21,25.440447,KGZ
2017,Osh (city),KG21,37.2,KGZ
2018,Osh (city),KG21,39.6,KGZ
2019,Osh (city),KG21,22.75,KGZ
2020,Osh (city),KG21,33.0,KGZ
2021,Osh (city),KG21,40.4,KGZ
