unique_id,col_caption_name,col_caption_name1_empty,year,value
01_101_,Total,True,2000,2.1
01_101_,Total,True,2001,1.8
01_101_,Total,True,2002,1
01_101_,Total,True,2003,1.1
01_101_,Total,True,2004,1.7
01_101_,Total,True,2005,1.6
01_101_,Total,True,2006,1.4
01_101_,Total,True,2007,1.4
01_101_,Total,True,2008,7.8
01_101_,Total,True,2009,0.9
01_101_,Total,True,2010,0.5
01_101_,Total,True,2011,0.5
01_101_,Total,True,2012,0.5
01_101_,Total,True,2013,0.5
01_101_,Total,True,2014,0.3
01_101_,Total,True,2015,0.3
01_101_,Total,True,2016,0.2
01_101_,Total,True,2017,0.2
01_101_,Total,True,2018,0.2
01_101_,Total,True,2019,0.2
01_101_,Total,True,2020,0
01_101_,Total,True,2021,0.3
